127.0.0.1 - - [16/May/2018:11:04:27 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/faces/index.xhtml HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/faces/javax.faces.resource/styles.css;jsessionid=E368A957F5438E6F22BA22DDD901EB59?ln=css HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/faces/javax.faces.resource/bootstrap.min.css;jsessionid=E368A957F5438E6F22BA22DDD901EB59?ln=css HTTP/1.1" 200 141078
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/faces/javax.faces.resource/jquery-3.3.1.min.js;jsessionid=E368A957F5438E6F22BA22DDD901EB59?ln=js HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/faces/javax.faces.resource/popper.min.js;jsessionid=E368A957F5438E6F22BA22DDD901EB59?ln=js HTTP/1.1" 200 19216
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/faces/javax.faces.resource/bootstrap.min.js;jsessionid=E368A957F5438E6F22BA22DDD901EB59?ln=js HTTP/1.1" 200 50791
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:28 -0300] "GET /08-JSF/img/logo.png;jsessionid=E368A957F5438E6F22BA22DDD901EB59 HTTP/1.1" 200 9017
0:0:0:0:0:0:0:1 - - [16/May/2018:11:04:47 -0300] "GET /08-JSF/faces/index.xhtml HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [16/May/2018:11:05:46 -0300] "GET /08-JSF/faces/login.xhtml;jsessionid=E368A957F5438E6F22BA22DDD901EB59 HTTP/1.1" 200 3318
127.0.0.1 - - [16/May/2018:11:06:03 -0300] "POST /06-WS-Restful-Server/rest/pessoas HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [16/May/2018:11:06:03 -0300] "POST /08-JSF/faces/login.xhtml HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [16/May/2018:11:06:15 -0300] "GET /08-JSF/faces/login.xhtml HTTP/1.1" 200 3319
127.0.0.1 - - [16/May/2018:11:06:23 -0300] "POST /06-WS-Restful-Server/rest/pessoas HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [16/May/2018:11:06:24 -0300] "POST /08-JSF/faces/login.xhtml HTTP/1.1" 200 3890
127.0.0.1 - - [16/May/2018:11:06:42 -0300] "GET /06-WS-Restful-Server/rest/pacientes/medico/2 HTTP/1.1" 200 2
